"biography","birthday","deathday","gender","name","place_of_birth","facebook_likes"
"James Cameron was born in Kapuskasing, Ontario, Canada, on August 16, 1954. He moved to the USA in 1971. The son of an engineer, he majored in physics at California State University but, after graduating, drove a truck to support his screen-writing ambition. He landed his first professional film job as art director, miniature-set builder, and process-projection supervisor on Roger Corman's Battle Beyond the Stars (1980) and debuted as a director with Piranha Part Two: The Spawning (1981) the following year. In 1984, he wrote and directed The Terminator (1984), a futuristic action-thriller starring Arnold Schwarzenegger, Michael Biehn, and Linda Hamilton. It was a huge success. After this came a string of successful science-fiction action films such as Aliens (1986) and Terminator 2: Judgment Day (1991). Cameron is now one of the most sought-after directors in Hollywood. He was formerly married to producer Gale Anne Hurd, who produced several of his films. He married Kathryn Bigelow in 1989.","1954-08-16",,2,"James Cameron","Kapuskasing, Ontario, Canada",0.0
"From Wikipedia, the free encyclopedia  

Gregor ""Gore"" Verbinski is an American film director and writer, best known for directing the first three Pirates of the Caribbean films and The Ring.

Verbinski was born the third of five children to Vic and Laurette Verbinski in Oak Ridge, Tennessee. His siblings are Janine, Claire, Diane and Steven. His father was of Polish descent and worked as a nuclear physicist at Oak Ridge National Laboratory. In 1967 the Verbinski family moved to Southern California, where a young Gregor grew up in the town of La Jolla.

Gregor was an active Boy Scout and surfed regularly. He went to Torrey Pines Elementary, Muirlands Junior High, and La Jolla High School before attending UCLA Film School. Verbinski graduated with his BFA in Film from UCLA in 1987.

Verbinski was active in several L.A. rock bands early in his career. His first band was Thelonius Monster, which included drummer Danny Heifetz. He also played in the Daredevils, Bulldozer, The Drivers, and the all-star band The Cylon Boys Choir.

He was also in a band called The Little Kings, which backed Stiv Bators on his version of ""Have Love Will Travel"". Along with a cover of the Moody Blues song ""The Story in Your Eyes"" (by other musicians), the song was released by Bators in the Fall of 1986 as a 12-inch single on Bomp! (catalogue #12136) and was later included in Bators' compilation album L.A. L.A. On the compilation album's liner notes, label owner Greg Shaw described the band as ""an adequate but rootless Hollywood glam-damaged band with tattoos"".

His first films were a series of 8 mm films called ""The Driver Files"" circa 1979, when he was a young teen. Although most associate Verbinski with feature films, he started his career directing music videos for bands like Bad Religion, NOFX, 24-7 Spyz and Monster Magnet working at Palomar Pictures. This was not surprising to his friends in Los Angeles, since he had been in various punk and rock bands; the Daredevils, for instance, included then-departed member of Bad Religion Brett Gurewitz.

Verbinski moved from music videos to commercials, where he worked for many brand names including Nike, Coca-Cola, Canon, Skittles and United Airlines. One of his most famous commercials was for Budweiser, featuring frogs who croak the brand name. For his efforts in commercials, Verbinski won four Clio Awards and one Cannes Advertising Silver Lion.

After completing a short film, The Ritual (which he both wrote and directed), Verbinski made his feature film directing debut with his comedy flick, Mouse Hunt. The film was a hit globally and he soon followed up the success with the action/comedy The Mexican, starring Julia Roberts and Brad Pitt. The film received mixed reviews, and performed modestly at the box-office, earning $68 million domestically which was quite meager considering its star power (it was technically successful due to its moderately low $38 million budget). Verbinski followed it up with the horror film remake The Ring (2002), which struck gold globally, grossing well over $200 million worldwide. Verbinski also had a directorial hand in The Time Machine that year, temporarily taking over for an exhausted Simon Wells. Verbinski directed some of the underground Morlock sequences and is given a Thanks to credit in the film.

He then directed the very successful Pirates of the Caribbean: The Curse of the Black Pearl which earned over $600 million at the international box office.

His next film was The Weather Man which starred Nicolas Cage. The film received mixed to positive reviews but was a box office failure.

In March 2005 he started filming the sequels Pirates of the Caribbean: Dead Man's Chest and Pirates of the Caribbean: At World's End. The former then became his biggest success so far, becoming the third film ever to gross over $1 billion at the international box office.

His future project will be an adaption of William Monahan's novel Light House: A Trifle, which is a story about an artist running away from the Mafia who hides in a lighthouse, in which kooky characters live. He will also direct Butterfly, about a man trying to drive his wife insane.

Verbinski was also set to direct a film for Universal based on the video game, BioShock.   However he has since been replaced by Juan Carlos Fresnadillo as director, but he will still produce. Verbinski announced in July the film had an R-rating, formerly was planned with an PG-13 rating. It has also been announced that he direct a remake of the film Clue, based on the board game.

Description above from the Wikipedia article  Gore Verbinski, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1964-03-16",,2,"Gore Verbinski","Oak Ridge, Tennessee, USA",563.0
"Samuel Alexander ""Sam"" Mendes, CBE (born 1 August 1965) is an English stage and film director. He has won two Laurence Olivier Awards for his London stage productions The Glass Menagerie and Company in 1996, and Twelfth Night and Uncle Vanya in 2003. He also received a Tony Award nomination for Best Direction of a Musical for the Broadway revival of Cabaret in 1998. His debut film American Beauty (1999) earned him an Academy Award for Best Director.

Description above from the Wikipedia article Sam Mendes, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1965-08-01",,2,"Sam Mendes","Reading, Berkshire, England, UK",0.0
"Christopher Jonathan James Nolan (born July 30, 1970) is a British/American film director, screenwriter and producer. He is known for writing and directing such critically acclaimed films as Memento (2000), Insomnia (2002), The Prestige (2006), Inception (2010), and rebooting the Batman film franchise. Nolan is the founder of the production company Syncopy Films. He often collaborates with his wife, producer Emma Thomas, and his brother, screenwriter Jonathan Nolan, as well as cinematographer Wally Pfister, film editor Lee Smith, composers David Julyan and Hans Zimmer, special effects coordinator Chris Corbould, and actors Christian Bale and Michael Caine.  Nolan's most critically and commercially successful film is The Dark Knight.

Description above from the Wikipedia article Christopher Nolan, licensed under CC-BY-SA, full list of contributors on Wikipedia","1970-07-30",,2,"Christopher Nolan","London, England, UK",22000.0
"","1981-11-17",,2,"Doug Walker","Naples, Italy",131.0
"Andrew Stanton (born December 3, 1965) is an American film director, screenwriter, producer, and occasional voice actor based at Pixar Animation Studios. His film work includes writing and directing Finding Nemo and WALL-E; both films earned him the Academy Award for Best Animated Feature.

Description above from the Wikipedia article Andrew Stanton, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1965-12-03",,2,"Andrew Stanton","Boston, Massachusetts, USA",475.0
"Samuel Marshall ""Sam"" Raimi (October 23, 1959) is an American film director, producer, actor and writer. He is best known for directing cult horror films like the Evil Dead series, Darkman and Drag Me to Hell, as well as the blockbuster Spider-Man films and the producer of the successful TV series Hercules: The Legendary Journeys, Xena: Warrior Princess, Legend of the Seeker and Spartacus: Blood and Sand.

Description above from the Wikipedia article Sam Raimi, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1959-10-23",,2,"Sam Raimi","Royal Oak, Michigan, USA",0.0
"Director/writer   Nathan Greno is best known for co-directing the blockbuster animation feature, Tangled (2010).  

  

As a child Greno spent most of his time reading comic books and watching cartoons.   He doodled on any surface he could trying to mimic his animation idols.    In the late 1980s Greno joined the Walt Disney Company as a professional animator.

  

Although Greno began his career at Disney as a clean-up animation artist, he quickly advanced to storyboarding for the feature Brother Bear (2003) and voice acting in the features Chicken Little (2005), Meet the Robinsons (2007), and Bolt (2008). He then segued into the director   s chair for Walt Disney Pictures    50th animated motion pictured, Tangled.",,,2,"Nathan Greno","Kenosha, Wisconsin, USA",15.0
"Joseph Hill ""Joss"" Whedon (born June 23, 1964) is an American screenwriter, executive producer, director, occasional composer and actor, and founder of Mutant Enemy Productions. He is best known as the creator and showrunner of the television series Buffy the Vampire Slayer (1997   2003), Angel (1999   2004), Firefly (2002) and Dollhouse (2009   2010), as well as the short film Dr. Horrible's Sing-Along Blog (2008). He is also notable for his work in film, comic books, and online media. Many of Whedon's projects, as well as Whedon himself, enjoy a cult status.

Description above from the Wikipedia article Joss Whedon, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1964-06-23",,2,"Joss Whedon","New York City, New York, USA",0.0
"David Yates (born 30 November 1963) is an English director of film and television, best known for directing the final four films in the Harry Potter franchise.

His first two Potter films (Order of the Phoenix and Half-Blood Prince) became the highest-grossing entries in the series after the first instalment, which was later surpassed by Yates' Deathly Hallows, making him the most commercially successful British director in recent years. He is the only director in the series to be honoured with a Best Director accolade for his work on Harry Potter. He achieved international attention for his award-winning short films early in his career, which led to him becoming a prolific television director with credits including the BBC costume drama The Way We Live Now, the acclaimed political thriller State of Play and the BAFTA-lauded two-part drama Sex Traffic. Due to the success of these dramas and subsequent projects, Yates is considered as one of Britain's most celebrated directors of film and television.

Throughout his works, Yates uses hand-held cameras to visually provoke the subject matter; the technique is noted as one of his directorial trademarks. Yates is married to Yvonne Walcott, who is the aunt of Arsenal football player Theo Walcott.

Description above from the Wikipedia article David Yates, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1963-11-30",,2,"David Yates","St. Helens, Merseyside, England, UK",282.0
